Nuclide,emission probability,sigma emission probability,half_life,sigma half_life
Kr93,0.0195,0.0011,1.286,0.01
Pd122,0.00068374,1e-12,0.175,0.016
Br95,1.0029233000034992,1e-12,0.066,0.0
K51,0.47,1e-12,0.365,0.005
Nd161,0.0074357,1e-12,0.4884,0.0
Pr159,0.25197,1e-12,0.1055,0.0
Ce153,8.3773e-05,1e-12,0.979,0.0
N20,0.57,1e-12,0.13,0.007
Ba152,0.050146,1e-12,0.228,0.0
Ce154,0.0001431,1e-12,0.775,0.0
Rb93,0.0139,0.0007,5.84,0.02
Nb112,0.7723163,1e-12,0.069,0.0
Ne33,1.0,1e-12,1.8e-07,0.0
Ga80,0.0086,0.0007,1.676,0.014
Pr155,0.0019939,1e-12,0.852,0.0
Nb106,0.045,0.003,0.93,0.04
Rh116,0.0011298,1e-12,0.68,0.06
Sb134,0.029458,1e-12,0.78,0.06
I143,0.924674344,1e-12,0.296,0.0
C18,0.315,1e-12,0.092,0.002
Mg40,0.5,1e-12,1.7e-07,0.0
As86,0.1248662982,1e-12,0.945,0.008
Tc111,0.0085,0.002,0.29,0.02
O28,1.0,1e-12,1e-07,0.0
Kr96,0.037,0.004,0.08,0.006
Ga82,0.1093500027936,1e-12,0.599,0.002
Ni76,0.24159,1e-12,0.238,0.0165
Ca52,0.02,1e-12,4.6,0.3
Ni78,0.33498,1e-12,0.11,0.08
Mn65,0.0692,1e-12,0.092,0.001
Pr153,1.1616e-05,1e-12,4.28,0.11
P40,0.158,1e-12,0.125,0.025
Ru120,0.04461,1e-12,0.149,0.0
Nb105,0.017,0.009,2.95,0.06
Ge83,0.0011325,1e-12,1.85,0.06
Ag126,0.032894,1e-12,0.107,0.012
Te140,0.023281,1e-12,0.304,0.0
Kr94,0.0111,0.0007,0.212,0.005
Br90,0.252,0.009,1.92,0.02
Nb104_m1,0.0005,0.0003,0.94,0.04
Rb95,0.087,0.003,0.3777,0.0008
F24,0.059,1e-12,0.39,0.07
Mn66,0.1088,1e-12,0.064,0.002
I142,0.5251804,1e-12,0.222,0.012
Na37,0.5,1e-12,6e-08,0.0
Sc59,0.5,1e-12,0.01,0.001
Se93,0.3268514,1e-12,0.062,0.0
Mo114,0.0346,1e-12,0.08,0.008
Rh115,0.00020937,1e-12,0.99,0.05
Pr156,0.0094797,1e-12,0.733,0.0
Nb113,0.8960826,1e-12,0.03,0.003
As90,0.4310759911351,1e-12,0.043,0.0
Br97,1.0489421500000002,1e-12,0.04,0.0
Rb91,2.0319e-07,1e-12,58.4,0.4
Br92,0.135615636,1e-12,0.343,0.015
Te139,0.020384,1e-12,0.347,0.0
Co73,0.0532090042,1e-12,0.041,0.004
Cs147,0.285,0.017,0.23,0.001
In134,1.46104030371,1e-12,0.14,0.004
Te138,0.063,0.021,1.4,0.4
Sn137,1.033148,1e-12,0.19,0.06
Rh117,0.0046843,1e-12,0.44,0.04
C21,1.0,1e-12,3e-08,0.0
K52,0.73,1e-12,0.105,0.005
Be16,2.0,1e-12,2e-07,0.0
Ar53,0.5,1e-12,0.003,0.0003
Ga81,0.119,0.007,1.217,0.005
Nb108,0.062,0.005,0.193,0.017
O22,0.22,1e-12,2.25,0.09
Kr92,0.000332,2.500000000000002e-05,1.84,0.008
Cs149,0.68845031956,1e-12,0.05,0.0
S45,0.54,1e-12,0.068,0.002
Mo111,0.00056204,1e-12,0.2,0.02
As85,0.594,0.024,2.021,0.01
Ge88,0.04854903,1e-12,0.066,0.0
Na27,0.0013,1e-12,0.301,0.006
Pr157,0.054289,1e-12,0.598,0.0
Na29,0.215,1e-12,0.0449,0.0012
Cs151,0.8597324,1e-12,0.05,0.0
Mo115,0.052458034,1e-12,0.092,0.0
In130_m1,0.0165,0.0015,0.54,0.01
Y97_m1,0.00055,4.000000000000002e-05,1.17,0.03
Pm159,2.207e-06,1e-12,1.47,0.15
Ba149,0.0043,0.0012,0.344,0.007
B16,1.0,1e-12,1.9e-10,0.0
Mo109,1.7231e-11,1e-12,0.53,0.06
Zr106,0.0052465,1e-12,0.27,0.0
Se87,0.002,0.0004,5.5,0.12
Kr100,0.13789384,1e-12,0.007,0.007
In129,0.0025,0.0005,0.61,0.01
Ni75,0.11859,1e-12,0.6,0.2
As87,0.3967200000127004,1e-12,0.56,0.08
Rb98,0.13902,0.006001633111079018,0.114,0.005
Zn80,0.01,0.005,0.54,0.02
Ru117,0.0053431,1e-12,0.142,0.0175
Pr154,0.001453,1e-12,2.3,0.1
Ti63,0.5,1e-12,0.003,0.0003
Se94,0.2874039,1e-12,0.059,0.0
He8,0.16,0.01,0.1191,0.0012
Y105,0.09939077274,1e-12,0.088,0.0
Pd123,0.0090211,1e-12,0.244,0.0
Sb138,0.20971130000000002,1e-12,0.168,0.0
Br87,0.026,0.0004,55.65,0.13
S44,0.18,1e-12,0.1,0.001
Ru119,0.025793,1e-12,0.162,0.0
Sr103,0.0236211276,1e-12,0.068,0.0
Pd121,6.9932e-05,1e-12,0.285,0.024
Cs146,0.142,0.005,0.321,0.002
Cd130,0.035,0.01,0.162,0.007
Ag124,0.013,0.009,0.172,0.005
Be15,1.0,1e-12,2e-07,0.0
B18,1.0,1e-12,2.6e-08,0.0
C16,0.99,1e-12,0.747,0.008
Zr104,8.077e-05,1e-12,1.2,0.3
Zr110,0.06954199162171999,1e-12,0.098,0.0
F26,0.11,1e-12,0.0096,0.0008
Tc118,0.24939289999999997,1e-12,0.066,0.0
Mo113,0.048677,1e-12,0.1,0.01
Se91,0.012519766,1e-12,0.27,0.05
Kr97,0.07382852399999999,1e-12,0.063,0.004
Y101,0.0194,0.0018,0.45,0.02
Y99,0.017,0.004,1.47,0.007
Ni74,0.014063,1e-12,0.68,0.18
B19,1.04,1e-12,0.00292,0.00013
Si37,0.17,1e-12,0.09,0.06
Ga86,0.816022248,1e-12,0.029,0.0
Rb102,0.2416290000018223,1e-12,0.037,0.003
Xe147,0.08,1e-12,0.1,0.075
O25,1.0,1e-12,5e-08,0.0
Nb104,0.0006,0.0003,4.9,0.3
Al40,0.5,1e-12,2.6e-07,0.0
Zr109,0.0557775262,1e-12,0.117,0.0
As92,1.3061177000194562,1e-12,0.027,0.0
N21,0.81,1e-12,0.085,0.007
Ba153,0.033644054552,1e-12,0.158,0.0
Ge87,0.04198746,1e-12,0.14,0.014
Rb97,0.255,0.009,0.1691,0.0006
Ce157,0.017793,1e-12,0.2428,0.0
Na34,0.15,1e-12,0.0055,0.001
Se88,0.0067,0.003,1.53,0.06
Cu76,0.03,0.02,0.653,0.024
S49,1.0,1e-12,2e-07,0.0
Li10,1.0,1e-12,2e-21,0.0
Si39,0.5,1e-12,0.0475,0.002
Y108,0.5386770000000001,1e-12,0.048,0.0
La148,0.0015,0.0003,1.26,0.08
Nd160,0.00062951,1e-12,0.5883,0.0
Xe145,0.029567000000003403,1e-12,0.188,0.004
La149,0.0143,0.0028,1.05,0.03
Ag122,0.00186,0.0001,0.529,0.013
Tc114,0.13166001776,1e-12,0.15,0.03
Br93,0.2662131742,1e-12,0.102,0.01
Ag123,0.0055,0.0007,0.3,0.005
Mg39,1.0,1e-12,1.8e-07,0.0
Y100,0.0092,0.0008,0.735,0.007
Cl44,0.08,1e-12,0.56,0.11
In128,0.00038,3.0000000000000018e-05,0.84,0.06
O23,0.31,1e-12,0.0905,0.0365
Se92,0.01948014296,1e-12,0.093,0.0
Ba148,0.004,0.003,0.612,0.017
Xe141,0.00044,5.000000000000001e-05,1.73,0.01
Li12,1.0,1e-12,1e-08,0.0
Tc109,0.0008,0.0002,0.86,0.04
Sm164,3.8311e-12,1e-12,1.226,0.0
Co72,0.05821119,1e-12,0.0599,0.0017
H7,2.0,1e-12,2.3e-23,6e-25
Y103,0.08,0.03,0.23,0.02
Ne30,0.308,1e-12,0.0073,0.0003
Br96,0.6384438131,1e-12,0.042,0.0
Cu78,0.37080660000000004,1e-12,0.335,0.011
Nb107,0.06,0.015,0.3,0.009
Xe143,0.0052494,1e-12,0.3,0.03
Ru116,0.0020976,1e-12,0.204,0.0305
Be14,0.91,1e-12,0.00435,0.00017
In128_m1,0.00044109,1e-12,0.72,0.01
B17,0.971,1e-12,0.00508,5e-05
Ge86,0.051965,1e-12,0.095,0.0
Tc115,0.19831,1e-12,0.073,0.027
Co75,0.07251215,1e-12,0.034,0.0
